"File","Family","Lines","SizeBytes","ImportCount","ControllerImportCount","ServiceImportCount","MiddlewareImportCount","ControllerImports","ServiceImports","MiddlewareImports","AllImports"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M200Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M201Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M202Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M203Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M204Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M205Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M206Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M207Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M208Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M209Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M210Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M211Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M212Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M213Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M214Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M215Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M216Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
