"QualifiedTable","DefinitionCount","SourceFile","SourceRelativePath"
"public.knowledge_graphs","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\knowledge_graph_schema.sql","backend\src\database\knowledge_graph_schema.sql"
"public.knowledge_graphs","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\032_knowledge_graph_schema.sql","backend\src\database\migrations\032_knowledge_graph_schema.sql"
"public.graph_queries","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\knowledge_graph_schema.sql","backend\src\database\knowledge_graph_schema.sql"
"public.graph_queries","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\032_knowledge_graph_schema.sql","backend\src\database\migrations\032_knowledge_graph_schema.sql"
"public.query_results","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\knowledge_graph_schema.sql","backend\src\database\knowledge_graph_schema.sql"
"public.query_results","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\032_knowledge_graph_schema.sql","backend\src\database\migrations\032_knowledge_graph_schema.sql"
"public.semantic_search_index","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\knowledge_graph_schema.sql","backend\src\database\knowledge_graph_schema.sql"
"public.semantic_search_index","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\032_knowledge_graph_schema.sql","backend\src\database\migrations\032_knowledge_graph_schema.sql"
"public.knowledge_analytics","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\knowledge_graph_schema.sql","backend\src\database\knowledge_graph_schema.sql"
"public.knowledge_analytics","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\032_knowledge_graph_schema.sql","backend\src\database\migrations\032_knowledge_graph_schema.sql"
"public.laboratories","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.laboratories","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.test_categories","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.test_categories","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.test_methods","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.test_methods","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.sample_registrations","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.sample_registrations","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.sample_tracking","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.sample_tracking","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.test_assignments","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.test_assignments","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.test_results","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.test_results","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.certification_reports","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.certification_reports","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.quality_control_samples","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.quality_control_samples","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.equipment_calibration","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.equipment_calibration","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.laboratory_analysts","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.laboratory_analysts","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.laboratory_invoices","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\laboratory_erp_schema.sql","backend\src\database\laboratory_erp_schema.sql"
"public.laboratory_invoices","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\033_laboratory_erp_schema.sql","backend\src\database\migrations\033_laboratory_erp_schema.sql"
"public.fleet_vehicles","4","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\logistics_enhancement_schema.sql","backend\src\database\logistics_enhancement_schema.sql"
"public.fleet_vehicles","4","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\013_logistics_enhancements.sql","backend\src\database\migrations\013_logistics_enhancements.sql"
"public.fleet_vehicles","4","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
"public.fleet_vehicles","4","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M105\model.sql","backend\src\modules\M105\model.sql"
"public.vehicle_maintenance","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\logistics_enhancement_schema.sql","backend\src\database\logistics_enhancement_schema.sql"
"public.vehicle_maintenance","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\013_logistics_enhancements.sql","backend\src\database\migrations\013_logistics_enhancements.sql"
"public.vehicle_maintenance","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
"public.shipment_tracking","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\logistics_enhancement_schema.sql","backend\src\database\logistics_enhancement_schema.sql"
"public.shipment_tracking","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\schema.sql","backend\src\database\schema.sql"
"public.shipment_tracking","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\000_base_schema.sql","backend\src\database\migrations\000_base_schema.sql"
"public.shipment_tracking","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\013_logistics_enhancements.sql","backend\src\database\migrations\013_logistics_enhancements.sql"
"public.shipment_tracking","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
"public.shipment_tracking","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M057\model.sql","backend\src\modules\M057\model.sql"
"public.shipment_geofences","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\logistics_enhancement_schema.sql","backend\src\database\logistics_enhancement_schema.sql"
"public.shipment_geofences","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\013_logistics_enhancements.sql","backend\src\database\migrations\013_logistics_enhancements.sql"
"public.shipment_geofences","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
"public.temperature_readings","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\logistics_enhancement_schema.sql","backend\src\database\logistics_enhancement_schema.sql"
"public.temperature_readings","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\013_logistics_enhancements.sql","backend\src\database\migrations\013_logistics_enhancements.sql"
"public.temperature_readings","3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
